,,
id,kavaler_id,failinimi
F-0374,VRK-0614,"0614, iir, märt.png"
F-0375,VRK-0617,"0617, ilme, ernst-august.png"
F-0376,VRK-0618,"0618, ilmet, salme.png"
F-0377,VRK-0620,"0620, ilves, august.png"
F-0378,VRK-0619,"0619, ilves, aleksander.png"
F-0379,VRK-0621,"0621, ingel, johannes.png"
F-0380,VRK-0623,"0623, inti, oskar.png"
F-0381,VRK-0624,"0624, irv, anton.png"
F-0382,VRK-0625,"0625, ishii, kikujirō.png"
F-0383,VRK-0628,"0628, isotalo, antti.png"
F-0384,VRK-0629,"0629, itaalia tundmatu sõdur.png"
F-0385,VRK-0630,"0630, ivalo, santeri.png"
F-0386,VRK-0631,"0631, ivand, karl.png"
F-0387,VRK-0633,"0633, ivansons, oskars arveds.png"
F-0388,VRK-0634,"0634, iwaszkiewicz-rudoszański, wacław teodor.png"
F-0389,VRK-0635,"0635, jaago, arnold.png"
F-0390,VRK-0636,"0636, jaagura, mart.png"
F-0391,VRK-0637,"0637, jaakson, aleksander.png"
F-0392,VRK-0638,"0638, jaakson, jaan.png"
F-0393,VRK-0639,"0639, jaakson, jüri.png"
F-0394,VRK-0640,"0640, jaanberg, aleksander-albert.png"
F-0395,VRK-0641,"0641, jaanimets, karl.png"
F-0396,VRK-0642,"0642, jaanso, otto.png"
F-0397,VRK-0643,"0643, jaanson, robert-johann.png"
F-0398,VRK-0644,"0644, jaanus, karl.png"
F-0399,VRK-0646,"0646, jagomäe, karl-robert.png"
F-0400,VRK-0648,"0648, jakobsen, ludvig-karl.png"
F-0401,VRK-0650,"0650, jakobson, karl.png"
F-0402,VRK-0651,"0651, jakobson, villem.png"
F-0403,VRK-0652,"0652, jalakas, karl-arnold.png"
F-0404,VRK-0656,"0656, jänes, feliks.png"
F-0405,VRK-0657,"0657, jansen, juhan.png"
F-0406,VRK-0658,"0658, janson, nikolai.png"
F-0407,VRK-0659,"0659, jansons, jūlijs voldemārs.png"
F-0408,VRK-0660,"0660, jantov, jüri.png"
F-0409,VRK-0665,"0665, järve, august.png"
F-0410,VRK-0666,"0666, järvekülg, georg-bernhard.png"
F-0411,VRK-0667,"0667, järvelaid, aleksander.png"
F-0412,VRK-0668,"0668, järver, juhan.png"
F-0413,VRK-0675,"0675, jędrzejewicz, wacław.png"
F-0414,VRK-0677,"0677, jens, hugo-johannes.png"
F-0415,VRK-0678,"0678, jensen, august.png"
F-0416,VRK-0681,"0681, jervan, martin-volmer.png"
F-0417,VRK-0682,"0682, joaste, elmar.png"
F-0418,VRK-0690,"0690, johannes, adolf-mihkel.png"
F-0419,VRK-0691,"0691, johannes, peeter-adolf.png"
F-0420,VRK-0692,"0692, johannson, arthur.png"
F-0421,VRK-0695,"0695, johanson, eduard.png"
F-0422,VRK-0696,"0696, johanson, mart.png"
F-0423,VRK-0700,"0700, johnwick, stanley adam.png"
F-0424,VRK-0701,"0701, jokinen, elias.png"
F-0425,VRK-0702,"0702, jokioinen, eino urho kustaa.png"
F-0426,VRK-0704,"0704, jonson, gustav.png"
F-0427,VRK-0706,"0706, joonet, alfred-evald.png"
F-0428,VRK-0709,"0709, jouvenel, henry de.png"
F-0429,VRK-0711,"0711, jungermann, johan.png"
F-0430,VRK-0713,"0713, junkur, jaan.png"
F-0431,VRK-0716,"0716, junts, august-johannes.png"
F-0432,VRK-0717,"0717, jürgen, jüri.png"
F-0433,VRK-0718,"0718, jürgens, arnold-johannes.png"
F-0434,VRK-0719,"0719, jürgens, eduard-johannes.png"
F-0435,VRK-0721,"0721, jürgens, hermann.png"
F-0436,VRK-0722,"0722, jürgens, jakob.png"
F-0437,VRK-0724,"0724, jürgenson, hugo-vilhelm-leonhard.png"
F-0438,VRK-0725,"0725, jürgenson, julius.png"
F-0439,VRK-0712,"0712, jungerth-arnóthy, michael.png"
F-0440,VRK-0726,"0726, jürima, egbert-michael.png"
F-0441,VRK-0727,"0727, jürimaa, johannes.png"
F-0442,VRK-0728,"0728, jürimäe, aleksander.png"
F-0443,VRK-0729,"0729, jürine, mart.png"
F-0444,VRK-0730,"0730, jüris, johan.png"
F-0445,VRK-0731,"0731, jürisoo, peeter.png"
F-0446,VRK-0732,"0732, jürisson, johannes.png"
F-0447,VRK-0733,"0733, jürisson, voldemar.png"
F-0448,VRK-0734,"0734, jüriste, juhan.png"
F-0449,VRK-0735,"0735, jürna, johannes-aleksander.png"
F-0450,VRK-0736,"0736, jürvetson, jüri.png"
F-0451,VRK-0737,"0737, jürvetson, voldemar.png"
F-0452,VRK-0741,"0741, juurisma, adrian-endrek.png"
F-0453,VRK-0683,"0683, jõelaid, henrik.png"
F-0454,VRK-0684,"0684, jõerand, mart.png"
F-0455,VRK-0685,"0685, jõesaar, viktor.png"
F-0456,VRK-0686,"0686, jõgevest, juhan.png"
F-0457,VRK-0688,"0688, jõgi, eduard.png"
F-0458,VRK-0689,"0689, jõgi, johannes.png"
F-0459,VRK-0705,"0705, jõõks, hans.png"
F-0460,VRK-0744,"0744, kaal, karl.png"
F-0461,VRK-0747,"0747, käär, jaan.png"
F-0462,VRK-0750,"0750, kaasik, august.png"
F-0463,VRK-0751,"0751, kaasik, leonhard-karl.png"
F-0464,VRK-0752,"0752, kaasik, priidu.png"
F-0465,VRK-0753,"0753, kabur, peeter.png"
F-0466,VRK-0754,"0754, kadak, jaan.png"
F-0467,VRK-0755,"0755, kadak, karl.png"
F-0468,VRK-0756,"0756, kadaksaar, aleksander.png"
F-0469,VRK-0757,"0757, kadarik, peeter.png"
F-0470,VRK-0758,"0758, kahro, otto-karl.png"
F-0471,VRK-0759,"0759, kaigas, aleksander.png"
F-0472,VRK-0760,"0760, käige, herbert.png"
F-0473,VRK-0763,"0763, kaila, elmo edvard.png"
F-0474,VRK-0768,"0768, kajak, johannes-richard.png"
F-0475,VRK-0769,"0769, kalbas, johannes.png"
F-0476,VRK-0770,"0770, kalberg, teodor.png"
F-0477,VRK-0771,"0771, kalda, jakob.png"
